date,match_no,home_team,away_team,classifier_home_win,classifier_draw,classifier_away_win,expected_home_goals,expected_away_goals,poisson_home_win,poisson_draw,poisson_away_win,top_scorelines,final_home_win,final_draw,final_away_win,predicted_result,predicted_advancer,model_conflict,max_wdl_probability_diff,model_warning,strategy_rank,strategy_accuracy,strategy_advancer_accuracy,strategy_group_weight,strategy_historical_scale,strategy_lambda_decay,strategy_alpha_classifier,strategy_conflict_gate
2026-07-03,86,Argentina,Cape Verde,0.912,0.088,0.000,2.798,1.056,0.718,0.159,0.123,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]",0.796,0.130,0.074,home_win,Argentina,False,0.078,,1,0.769,0.769,4.000,0.200,0.010,0.400,False
2026-07-03,87,Colombia,Ghana,0.724,0.275,0.001,1.400,1.449,0.363,0.252,0.385,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]",0.508,0.261,0.231,home_win,Colombia,False,0.154,,1,0.769,0.769,4.000,0.200,0.010,0.400,False
2026-07-03,88,Australia,Egypt,0.922,0.065,0.013,1.071,1.287,0.309,0.278,0.413,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]",0.554,0.193,0.253,home_win,Australia,False,0.245,classification model and goal model disagree.,1,0.769,0.769,4.000,0.200,0.010,0.400,False
2026-07-03,86,Argentina,Cape Verde,0.912,0.088,0.000,2.798,1.056,0.718,0.159,0.123,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]",0.796,0.130,0.074,home_win,Argentina,False,0.078,,2,0.769,0.769,4.000,0.200,0.010,0.400,True
2026-07-03,87,Colombia,Ghana,0.724,0.275,0.001,1.400,1.449,0.363,0.252,0.385,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]",0.363,0.252,0.385,away_win,Ghana,False,0.000,,2,0.769,0.769,4.000,0.200,0.010,0.400,True
2026-07-03,88,Australia,Egypt,0.922,0.065,0.013,1.071,1.287,0.309,0.278,0.413,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]",0.309,0.278,0.413,away_win,Egypt,False,0.000,,2,0.769,0.769,4.000,0.200,0.010,0.400,True
2026-07-03,86,Argentina,Cape Verde,0.912,0.088,0.000,2.798,1.056,0.718,0.159,0.123,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]",0.815,0.123,0.062,home_win,Argentina,False,0.097,,3,0.769,0.769,4.000,0.200,0.010,0.500,False
2026-07-03,87,Colombia,Ghana,0.724,0.275,0.001,1.400,1.449,0.363,0.252,0.385,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]",0.544,0.263,0.193,home_win,Colombia,False,0.192,,3,0.769,0.769,4.000,0.200,0.010,0.500,False
2026-07-03,88,Australia,Egypt,0.922,0.065,0.013,1.071,1.287,0.309,0.278,0.413,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]",0.615,0.172,0.213,home_win,Australia,True,0.306,classification model and goal model disagree.,3,0.769,0.769,4.000,0.200,0.010,0.500,False
2026-07-03,86,Argentina,Cape Verde,0.912,0.088,0.000,2.798,1.056,0.718,0.159,0.123,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]",0.815,0.123,0.062,home_win,Argentina,False,0.097,,4,0.769,0.769,4.000,0.200,0.010,0.500,True
2026-07-03,87,Colombia,Ghana,0.724,0.275,0.001,1.400,1.449,0.363,0.252,0.385,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]",0.363,0.252,0.385,away_win,Ghana,False,0.000,,4,0.769,0.769,4.000,0.200,0.010,0.500,True
2026-07-03,88,Australia,Egypt,0.922,0.065,0.013,1.071,1.287,0.309,0.278,0.413,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]",0.309,0.278,0.413,away_win,Egypt,False,0.000,,4,0.769,0.769,4.000,0.200,0.010,0.500,True
2026-07-03,86,Argentina,Cape Verde,0.912,0.088,0.000,2.798,1.056,0.718,0.159,0.123,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]",0.834,0.116,0.049,home_win,Argentina,False,0.117,,5,0.769,0.769,4.000,0.200,0.010,0.600,False
2026-07-03,87,Colombia,Ghana,0.724,0.275,0.001,1.400,1.449,0.363,0.252,0.385,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]",0.580,0.266,0.154,home_win,Colombia,False,0.230,classification model and goal model disagree.,5,0.769,0.769,4.000,0.200,0.010,0.600,False
2026-07-03,88,Australia,Egypt,0.922,0.065,0.013,1.071,1.287,0.309,0.278,0.413,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]",0.676,0.150,0.173,home_win,Australia,True,0.368,classification model and goal model disagree.,5,0.769,0.769,4.000,0.200,0.010,0.600,False
2026-07-03,86,Argentina,Cape Verde,0.912,0.088,0.000,2.798,1.056,0.718,0.159,0.123,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]",0.834,0.116,0.049,home_win,Argentina,False,0.117,,6,0.769,0.769,4.000,0.200,0.010,0.600,True
2026-07-03,87,Colombia,Ghana,0.724,0.275,0.001,1.400,1.449,0.363,0.252,0.385,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]",0.363,0.252,0.385,away_win,Ghana,False,0.000,,6,0.769,0.769,4.000,0.200,0.010,0.600,True
2026-07-03,88,Australia,Egypt,0.922,0.065,0.013,1.071,1.287,0.309,0.278,0.413,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]",0.309,0.278,0.413,away_win,Egypt,False,0.000,,6,0.769,0.769,4.000,0.200,0.010,0.600,True
2026-07-03,86,Argentina,Cape Verde,0.912,0.088,0.000,2.798,1.056,0.718,0.159,0.123,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]",0.854,0.109,0.037,home_win,Argentina,False,0.136,,7,0.769,0.692,4.000,0.200,0.010,0.700,False
2026-07-03,87,Colombia,Ghana,0.724,0.275,0.001,1.400,1.449,0.363,0.252,0.385,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]",0.616,0.268,0.116,home_win,Colombia,True,0.269,classification model and goal model disagree.,7,0.769,0.692,4.000,0.200,0.010,0.700,False
2026-07-03,88,Australia,Egypt,0.922,0.065,0.013,1.071,1.287,0.309,0.278,0.413,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]",0.738,0.129,0.133,home_win,Australia,True,0.429,classification model and goal model disagree.,7,0.769,0.692,4.000,0.200,0.010,0.700,False
2026-07-03,86,Argentina,Cape Verde,0.912,0.088,0.000,2.798,1.056,0.718,0.159,0.123,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]",0.854,0.109,0.037,home_win,Argentina,False,0.136,,8,0.769,0.692,4.000,0.200,0.010,0.700,True
2026-07-03,87,Colombia,Ghana,0.724,0.275,0.001,1.400,1.449,0.363,0.252,0.385,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]",0.363,0.252,0.385,away_win,Ghana,False,0.000,,8,0.769,0.692,4.000,0.200,0.010,0.700,True
2026-07-03,88,Australia,Egypt,0.922,0.065,0.013,1.071,1.287,0.309,0.278,0.413,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]",0.309,0.278,0.413,away_win,Egypt,False,0.000,,8,0.769,0.692,4.000,0.200,0.010,0.700,True
2026-07-03,86,Argentina,Cape Verde,0.912,0.088,0.000,2.798,1.056,0.718,0.159,0.123,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]",0.873,0.102,0.025,home_win,Argentina,False,0.155,,9,0.769,0.692,4.000,0.200,0.010,0.800,False
2026-07-03,87,Colombia,Ghana,0.724,0.275,0.001,1.400,1.449,0.363,0.252,0.385,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]",0.652,0.270,0.078,home_win,Colombia,True,0.307,classification model and goal model disagree.,9,0.769,0.692,4.000,0.200,0.010,0.800,False
2026-07-03,88,Australia,Egypt,0.922,0.065,0.013,1.071,1.287,0.309,0.278,0.413,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]",0.799,0.108,0.093,home_win,Australia,True,0.490,classification model and goal model disagree.,9,0.769,0.692,4.000,0.200,0.010,0.800,False
2026-07-03,86,Argentina,Cape Verde,0.912,0.088,0.000,2.798,1.056,0.718,0.159,0.123,"[{""score"": ""2-1"", ""probability"": 0.094}, {""score"": ""2-0"", ""probability"": 0.089}, {""score"": ""3-1"", ""probability"": 0.087}, {""score"": ""3-0"", ""probability"": 0.083}, {""score"": ""1-1"", ""probability"": 0.067}]",0.873,0.102,0.025,home_win,Argentina,False,0.155,,10,0.769,0.692,4.000,0.200,0.010,0.800,True
2026-07-03,87,Colombia,Ghana,0.724,0.275,0.001,1.400,1.449,0.363,0.252,0.385,"[{""score"": ""1-1"", ""probability"": 0.118}, {""score"": ""1-2"", ""probability"": 0.086}, {""score"": ""0-1"", ""probability"": 0.084}, {""score"": ""2-1"", ""probability"": 0.083}, {""score"": ""1-0"", ""probability"": 0.082}]",0.363,0.252,0.385,away_win,Ghana,False,0.000,,10,0.769,0.692,4.000,0.200,0.010,0.800,True
2026-07-03,88,Australia,Egypt,0.922,0.065,0.013,1.071,1.287,0.309,0.278,0.413,"[{""score"": ""1-1"", ""probability"": 0.131}, {""score"": ""0-1"", ""probability"": 0.122}, {""score"": ""1-0"", ""probability"": 0.102}, {""score"": ""0-0"", ""probability"": 0.095}, {""score"": ""1-2"", ""probability"": 0.084}]",0.309,0.278,0.413,away_win,Egypt,False,0.000,,10,0.769,0.692,4.000,0.200,0.010,0.800,True
